date,county,policies
2024-09-30,Marion,7580
2024-09-30,Clay,5171
2024-09-30,Citrus,6903
2024-09-30,Flagler,4108
2024-09-30,Leon,5246
2024-09-30,Walton,3805
2024-09-30,Highlands,5508
2024-09-30,Alachua,3957
2024-09-30,Nassau,1622
2024-09-30,Okeechobee,1806
2024-09-30,Sumter,1567
2024-09-30,Putnam,1594
2024-09-30,Hendry,1294
2024-09-30,Franklin,942
2024-09-30,Gadsden,1074
2024-09-30,Jackson,996
2024-09-30,Levy,1649
2024-09-30,DeSoto,826
2024-09-30,Columbia,881
2024-09-30,Gulf,485
2024-09-30,Glades,608
2024-09-30,Holmes,436
2024-09-30,Wakulla,611
2024-09-30,Bradford,494
2024-09-30,Washington,444
2024-09-30,Taylor,649
2024-09-30,Baker,545
2024-09-30,Gilchrist,547
2024-09-30,Hardee,394
2024-09-30,Suwannee,529
2024-09-30,Dixie,558
2024-09-30,Jefferson,319
2024-09-30,Madison,238
2024-09-30,Calhoun,166
2024-09-30,Union,182
2024-09-30,Lafayette,157
2024-09-30,Liberty,119
2024-09-30,Hamilton,92
