geoid,county,state,median_income_e,median_income_m,nonrenewal_2023,nonrenewal_2022,nonrenewal_2021,nonrenewal_2020,nonrenewal_2019,nonrenewal_2018,pc_change_non_renewal,flag,population,alr_valb,alr_vra_npctl,premium_2018,premium_2019,premium_2020,premium_2021,premium_2022,premium_2023,pc_change_premium
12107,Putnam,FL,47256,1961,1.0558069381598794,1.0400416016640666,1.0148731408573928,0.44264819091608926,0.7008864151721295,0.5565068493150684,89.72038519549834,NA,73208,0.002232303660047,91.85491568565065,1455.02,1375.6494,1411.7748,1659.0358,2124.1997,2496.0093,71.54467292545809
12113,Santa Rosa,FL,88968,2397,1.9126981907664775,3.365531207391512,1.672048797990671,0.7559478870240239,0.736055390190242,0.9337474120082815,104.84107009760726,NA,187714,0.003202650751065,91.05949729557747,1614.4812,1654.7703,1754.0095,2133.3015,2716.2002,3099.2002,91.96260693528053
12115,Sarasota,FL,80633,1666,3.5036271185628047,5.374252544040632,1.681947766084361,0.6470617235259318,0.7235485879069841,0.40427139269453005,766.6522494234874,NA,433908,0.002924907361434,91.72764874323894,1697.4567,1724.4775,1755.3901,1979.6046,2490.978,2831.5742,66.81274992169168
12117,Seminole,FL,83030,1873,1.9437106132414956,1.7093393050073153,0.6709119466454971,0.7307588582762791,0.8029425121504237,0.9977340158888398,94.81250336142189,NA,470586,0.001086100056315,64.20617244670697,1634.7007,1823.4397,1902.6489,2218.9756,2645.5825,2948.5205,80.37066357162507
12109,St. Johns,FL,106169,3981,2.3587756436322467,1.968511251737623,0.6333026023551104,0.5504887177064787,0.4546506977625292,0.3917701615052503,502.08149456033436,NA,273175,0.001418611735446,70.12408526885142,1578.5441,1518.2751,1654.6797,1755.3403,2306.429,2595.6487,64.43308109035408
12111,St. Lucie,FL,69027,2187,2.408419885594881,4.58672593305103,1.6670023174083604,0.7092681230103819,0.886487442278004,0.5657894736842106,325.67421233769977,NA,328876,0.004117358273494,96.05472478523703,1771.1702,1892.0461,2020.5897,2337.0601,2874.3684,3347.7554,89.01376050703654
12119,Sumter,FL,73297,3166,1.5149537861752767,1.5357542793153096,0.18341145302628897,0.1438331535418914,0.13003901170351106,0.09984468604393167,1417.3103809537715,NA,129698,0.001664495313912,77.47375119312758,967.33954,1079.2107,1236.9148,1329.5505,1548.1052,1840.1499,90.22792141836771
12121,Suwannee,FL,55479,4598,0.6008583690987125,0.6576243321002877,0.7109995817649519,0.31404217137729923,0.47664442326024786,0.398406374501992,50.81545064377684,NA,43427,0.002087680380495,87.27330575882914,1334.6149,1585.8356,1603.8451,1898.8173,2331.2598,2524.4302,89.15045830823556
12123,Taylor,FL,44985,6888,2.6522593320235757,1.7890772128060264,1.3623978201634876,0.7117437722419928,0.26041666666666663,0.7640067911714771,247.15127701375246,NA,21690,0.002758140904798,92.45943366210628,1515.0808,1728.5713,1721.22,2025.7798,2542.98,3149.54,107.87934214465658
12125,Union,FL,64922,7887,1.1824324324324325,0.8130081300813009,1.5625,0.398406374501992,0.21739130434782608,0.2232142857142857,429.72972972972974,NA,16088,0.002031942540708,84.09163219853643,1652.4462,1695.0303,1512.3296,1783.6763,2186.1101,2475.3403,49.798541096224476
12127,Volusia,FL,66581,1033,1.9279535823186613,3.2779111677804673,0.9546581560112164,0.64566488036149,0.9259200873097678,0.7808207738322851,146.91371527632694,NA,551829,0.001583580298529,79.89182309895004,1378.8394,1433.4297,1539.1172,1819.1792,2274.54,2477.1814,79.6569926852975
12129,Wakulla,FL,74183,4334,2.218614718614719,2.865761689291101,0.8099352051835854,0.3552397868561279,0.5060088551549652,0.426829268292683,419.78973407544845,NA,33756,0.002190688616966,81.89627744193446,1396.99,1422.9805,1424.2999,1523.1346,2054.3108,2337.52,67.325464033386055
12131,Walton,FL,79281,4712,2.989201055012137,3.9310567617406758,2.0570073649728395,2.0669471373696724,1.0300649616222335,1.3928479673105862,114.6107202772394,NA,75211,0.004291476483861,96.78650970410436,2034.4656,1948.4697,2023.8945,2349.4197,3072.8408,3555.1196,74.74464055818885
12133,Washington,FL,52723,4486,3.011093502377179,2.1212121212121215,1.1437908496732025,0.546448087431694,0.3546099290780142,0.6920415224913495,335.10301109350235,NA,25288,0.005684962657165,99.45911549475024,1411.5598,1660.6096,1722.8799,1952.2419,2461.7,2845.9233,101.61549655919642
